Word,Log Rank,Log Frequency
the most,1.99563519459755,1.5440680443502757
the new,2.0,1.5440680443502757
they were,2.0043213737826426,1.5440680443502757
years ago,2.0086001717619175,1.5440680443502757
a week,2.012837224705172,1.5314789170422551
a year,2.0170333392987803,1.5314789170422551
have to,2.0211892990699383,1.5314789170422551
i ve,2.0253058652647704,1.5314789170422551
long term,2.0293837776852097,1.5314789170422551
part of,2.03342375548695,1.5314789170422551
the film,2.037426497940624,1.5314789170422551
the judge,2.041392685158225,1.5314789170422551
there was,2.0453229787866576,1.5314789170422551
was told,2.0492180226701815,1.5314789170422551
with her,2.0530784434834195,1.5314789170422551
and was,2.0569048513364727,1.5185139398778875
at least,2.060697840353612,1.5185139398778875
to get,2.0644579892269186,1.5185139398778875
was jailed,2.0681858617461617,1.5185139398778875
about the,2.0718820073061255,1.505149978319906
that it,2.0755469613925306,1.505149978319906
this is,2.0791812460476247,1.505149978319906
to do,2.0827853703164503,1.505149978319906
don t,2.0863598306747484,1.4913616938342726
for life,2.089905111439398,1.4913616938342726
the birth,2.093421685162235,1.4913616938342726
the same,2.0969100130080562,1.4913616938342726
the time,2.100370545117563,1.4913616938342726
to pay,2.103803720955957,1.4913616938342726
and i,2.1072099696478683,1.4771212547196624
before the,2.110589710299249,1.4771212547196624
home in,2.113943352306837,1.4771212547196624
into the,2.1172712956557644,1.4771212547196624
lot of,2.12057393120585,1.4771212547196624
out of,2.123851640967086,1.4771212547196624
the cavern,2.1271047983648077,1.4771212547196624
the world,2.130333768495006,1.4771212547196624
and had,2.1335389083702174,1.462397997898956
and that,2.1367205671564067,1.462397997898956
guilty of,2.1398790864012365,1.462397997898956
had to,2.143014800254095,1.462397997898956
he added,2.146128035678238,1.462397997898956
said she,2.1492191126553797,1.462397997898956
the beatles,2.1522883443830563,1.462397997898956
the best,2.155336037465062,1.462397997898956
up to,2.1583624920952498,1.462397997898956
was not,2.161368002234975,1.462397997898956
was the,2.164352855784437,1.462397997898956
a new,2.167317334748176,1.4471580313422192
after being,2.1702617153949575,1.4471580313422192
and he,2.173186268412274,1.4471580313422192
but it,2.1760912590556813,1.4471580313422192
coronation street,2.1789769472931693,1.4471580313422192
the health,2.1818435879447726,1.4471580313422192
travel agents,2.184691430817599,1.4471580313422192
who has,2.187520720836463,1.4471580313422192
would have,2.1903316981702914,1.4471580313422192
and it,2.1931245983544616,1.4313637641589874
convicted of,2.1958996524092336,1.4313637641589874
have a,2.1986570869544226,1.4313637641589874
in her,2.2013971243204513,1.4313637641589874
it would,2.2041199826559246,1.4313637641589874
should be,2.2068258760318495,1.4313637641589874
social services,2.2095150145426308,1.4313637641589874
the case,2.2121876044039577,1.4313637641589874
the child,2.214843848047698,1.4313637641589874
the ruling,2.2174839442139063,1.4313637641589874
the trial,2.220108088040055,1.4313637641589874
and then,2.2227164711475833,1.414973347970818
mr justice,2.225309281725863,1.414973347970818
she s,2.2278867046136734,1.414973347970818
the next,2.230448921378274,1.414973347970818
to see,2.2329961103921536,1.414973347970818
who is,2.2355284469075487,1.414973347970818
