Word,Log Rank,Log Frequency
like,2.0,2.0086001717619175
people,2.0043213737826426,2.0086001717619175
only,2.0086001717619175,2.0
than,2.012837224705172,1.9912260756924949
film,2.0170333392987803,1.9822712330395684
million,2.0211892990699383,1.9822712330395684
house,2.0253058652647704,1.9777236052888478
murder,2.0293837776852097,1.9637878273455553
over,2.03342375548695,1.9637878273455553
family,2.037426497940624,1.9590413923210936
mother,2.041392685158225,1.954242509439325
health,2.0453229787866576,1.9444826721501687
its,2.0492180226701815,1.9344984512435677
show,2.0530784434834195,1.9344984512435677
very,2.0569048513364727,1.9344984512435677
hobbs,2.060697840353612,1.9294189257142926
wife,2.0644579892269186,1.9294189257142926
long,2.0681858617461617,1.9242792860618816
band,2.0718820073061255,1.9138138523837167
baby,2.0755469613925306,1.9084850188786497
paul,2.0791812460476247,1.9084850188786497
should,2.0827853703164503,1.9030899869919435
can,2.0863598306747484,1.8976270912904414
four,2.089905111439398,1.8976270912904414
me,2.093421685162235,1.8976270912904414
down,2.0969100130080562,1.8920946026904804
added,2.100370545117563,1.8864907251724818
do,2.103803720955957,1.8808135922807914
get,2.1072099696478683,1.8808135922807914
m,2.110589710299249,1.8808135922807914
did,2.113943352306837,1.8750612633917
miss,2.1172712956557644,1.8692317197309762
off,2.12057393120585,1.8692317197309762
while,2.123851640967086,1.8573324964312685
judge,2.1271047983648077,1.8512583487190752
six,2.130333768495006,1.8512583487190752
man,2.1335389083702174,1.845098040014257
girl,2.1367205671564067,1.8388490907372552
most,2.1398790864012365,1.8388490907372552
jury,2.143014800254095,1.8325089127062364
going,2.146128035678238,1.8260748027008264
heard,2.1492191126553797,1.8260748027008264
rock,2.1522883443830563,1.8260748027008264
since,2.155336037465062,1.8260748027008264
manchester,2.1583624920952498,1.8195439355418688
next,2.161368002234975,1.8195439355418688
ba,2.164352855784437,1.8129133566428555
nhs,2.167317334748176,1.8129133566428555
street,2.1702617153949575,1.8129133566428555
some,2.173186268412274,1.806179973983887
women,2.1760912590556813,1.806179973983887
ever,2.1789769472931693,1.7993405494535817
how,2.1818435879447726,1.7993405494535817
killed,2.184691430817599,1.7993405494535817
later,2.187520720836463,1.7993405494535817
mrs,2.1903316981702914,1.7993405494535817
day,2.1931245983544616,1.792391689498254
free,2.1958996524092336,1.792391689498254
go,2.1986570869544226,1.792391689498254
cotterell,2.2013971243204513,1.7853298350107671
crown,2.2041199826559246,1.7853298350107671
series,2.2068258760318495,1.7853298350107671
hospital,2.2095150145426308,1.7781512503836436
sex,2.2121876044039577,1.7781512503836436
stars,2.214843848047698,1.7781512503836436
way,2.2174839442139063,1.7781512503836436
brian,2.220108088040055,1.7708520116421442
british,2.2227164711475833,1.7708520116421442
children,2.225309281725863,1.7708520116421442
days,2.2278867046136734,1.7708520116421442
oasis,2.230448921378274,1.7708520116421442
both,2.2329961103921536,1.7634279935629373
come,2.2355284469075487,1.7634279935629373
even,2.2380461031287955,1.7634279935629373
trial,2.2405492482826,1.7634279935629373
week,2.2430380486862944,1.7634279935629373
went,2.24551266781415,1.7634279935629373
case,2.247973266361807,1.7558748556724915
hagland,2.250420002308894,1.7558748556724915
peter,2.2528530309798933,1.7558748556724915
tv,2.255272505103306,1.7558748556724915
any,2.2576785748691846,1.7481880270062005
left,2.2600713879850747,1.7481880270062005
men,2.2624510897304293,1.7481880270062005
called,2.2648178230095364,1.7403626894942439
child,2.2671717284030137,1.7403626894942439
died,2.2695129442179165,1.7403626894942439
part,2.271841606536499,1.7403626894942439
really,2.27415784926368,1.7403626894942439
world,2.2764618041732443,1.7403626894942439
birth,2.278753600952829,1.7323937598229686
brown,2.2810333672477277,1.7323937598229686
months,2.2833012287035497,1.7323937598229686
such,2.285557309007774,1.7323937598229686
too,2.287801729930226,1.7323937598229686
gallagher,2.290034611362518,1.724275869600789
still,2.292256071356476,1.724275869600789
always,2.294466226161593,1.7160033436347992
away,2.296665190261531,1.7160033436347992
daughter,2.298853076409707,1.7160033436347992
martin,2.3010299956639813,1.7160033436347992
meg,2.303196057420489,1.7160033436347992
ms,2.305351369446624,1.7160033436347992
us,2.307496037913213,1.7160033436347992
convicted,2.3096301674258988,1.7075701760979363
set,2.311753861055754,1.7075701760979363
young,2.3138672203691533,1.7075701760979363
near,2.315970345456918,1.6989700043360187
social,2.3180633349627615,1.6989700043360187
between,2.3201462861110542,1.6901960800285136
decision,2.322219294733919,1.6901960800285136
during,2.3242824552976926,1.6901960800285136
feel,2.326335860928751,1.6901960800285136
harvey,2.3283796034387376,1.6901960800285136
liam,2.330413773349191,1.6901960800285136
may,2.3324384599156054,1.6901960800285136
well,2.3344537511509307,1.6901960800285136
death,2.3364597338485296,1.6812412373755872
jailed,2.3384564936046046,1.6812412373755872
pay,2.3404441148401185,1.6812412373755872
under,2.342422680822206,1.6812412373755872
ve,2.3443922736851106,1.6812412373755872
ago,2.346352974450639,1.6720978579357175
edmonds,2.3483048630481607,1.6720978579357175
eight,2.3502480183341627,1.6720978579357175
fans,2.3521825181113627,1.6720978579357175
great,2.3541084391474008,1.6720978579357175
guilty,2.3560258571931225,1.6720978579357175
mccartney,2.357934847000454,1.6720978579357175
see,2.359835482339888,1.6720978579357175
again,2.361727836017593,1.662757831681574
against,2.3636119798921444,1.662757831681574
amor,2.3654879848909,1.662757831681574
